id,cohort,race,sex,asvab_wt,sci,arith,word,para,number,coding,auto,math,mech,elec,social,weight_custom,pc1_verb,pc2_math,pc3_mech,pc4_admin,pc1_verb_m,pc1_verb_f,pc2_math_m,pc2_math_f,pc3_mech_m,pc3_mech_f,pc4_admin_m,pc4_admin_f,social_m,social_f
3851,79,3,2,468914,-.44506612,-.15837279,.3797349,.57618433,.55099934,-1.0512524,.25756407,-.84998584,-.13414748,.72281808,-.091085337,444907,.45648989,-.46653771,.25200123,-.46492612,,.45648989,,-.46653771,,.25200123,,-.46492612,,-.091085337
3852,79,3,1,474367,1.0900289,-.64342743,1.4426519,.87165129,.35563931,.87227643,.63940132,-1.017889,1.0729145,1.1487108,-1.5435218,456264,1.9951956,-.78140569,1.5710306,.99134755,1.9951956,,-.78140569,,1.5710306,,.99134755,,-1.5435218,
3853,79,1,2,78957,.14660309,2.1198556,1.1332849,1.262765,.075345829,1.4688443,.96014762,2.0858333,.73109138,-.17809103,.44264582,75433,1.4585603,2.6525896,.82001054,1.1693525,,1.4585603,,2.6525896,,.82001054,,1.1693525,,.44264582
3854,79,3,1,505718,.93234235,1.4910455,.95800203,.032581981,.95253211,1.1391966,.65828973,1.5153755,1.3809865,1.4204837,-1.119899,474779,1.2207245,2.398057,1.8003117,1.2027909,1.2207245,,2.398057,,1.8003117,,1.2027909,,-1.119899,
3855,79,3,2,581159,1.1594055,1.8794138,1.5107006,1.0854448,1.5553718,1.2714982,.22205722,1.9790429,.56905216,.26912537,1.5371284,566680,2.0964046,2.9960523,.43183124,1.6739192,,2.0964046,,2.9960523,,.43183124,,1.6739192,,1.5371284
3856,79,3,1,507407,.43061465,-.44006994,.24351709,.093330242,.24178408,.045788281,.080590278,.053871743,.036617368,-.30763009,.48276174,474779,.30397421,-.13106525,-.046329733,.18124923,.30397421,,-.13106525,,-.046329733,,.18124923,,.48276174,
3857,79,3,1,437170,1.2047035,2.0799305,1.1561047,1.247538,1.0325694,-.16827521,.46738899,1.9099185,2.243885,1.6944103,-.018464727,431124,2.1289387,3.4790723,2.0161965,.12097407,2.1289387,,3.4790723,,2.0161965,,.12097407,,-.018464727,
3858,79,3,2,521847,-.76394802,-.9270407,.61531502,-.23390535,.95592409,.77403939,.48283482,-.48422822,-.11322514,.038250383,-.39787012,469421,-.15917319,-.80411267,.18376738,1.312662,,-.15917319,,-.80411267,,.18376738,,1.312662,,-.39787012
3859,79,3,2,563442,-1.3563488,-1.0899025,-.36155143,-.46983361,.25084737,-.9111709,-.26548669,-.58413833,-.83180726,-.79677814,-.71886671,528055,-1.2713058,-1.1376551,-1.1315312,-.44664884,,-1.2713058,,-1.1376551,,-1.1315312,,-.44664884,,-.71886671
3860,79,3,1,526724,1.5179441,1.9686996,1.3175812,1.1183125,1.2466979,1.8287719,.91747594,1.9520077,2.1565416,1.9061925,.83987981,494500,2.3893943,3.2382023,2.5112147,1.9031155,2.3893943,,3.2382023,,2.5112147,,1.9031155,,.83987981,
3861,79,3,1,472289,1.745909,2.2277243,1.0404809,.98859644,1.4486301,-.048699718,.73564684,2.3044276,1.9316503,2.0388646,.95318818,449032,2.2515352,3.8546469,2.255985,.36142033,2.2515352,,3.8546469,,2.255985,,.36142033,,.95318818,
3862,79,3,1,490319,.41549015,1.2269258,1.2260902,.9212814,1.4011823,1.2941353,.18711218,.86029041,-.19901448,1.0017184,.36379999,448807,1.7259046,1.5563647,.31655502,1.7374284,1.7259046,,1.5563647,,.31655502,,1.7374284,,.36379999,
3863,79,3,1,472289,2.0147345,2.0067716,1.5972618,.7668187,1.6893942,1.5077598,1.0449454,1.9702224,1.4717629,1.5260372,-.42873111,449032,2.5213304,3.2561259,2.171066,1.8417128,2.5213304,,3.2561259,,2.171066,,1.8417128,,-.42873111,
3864,79,3,2,146867,1.2834158,1.0910826,1.1527542,.78236312,.34734005,.95967168,-.17032537,1.3913324,-.025522882,1.5992332,-.84459472,135219,2.200634,1.6491191,.53984576,.76206601,,2.200634,,1.6491191,,.53984576,,.76206601,,-.84459472
3865,79,3,1,515222,1.9877607,1.9740776,1.3495826,1.247538,.43685639,.34188744,2.2732096,1.5997118,2.243885,2.3537984,.13512273,507888,2.7394464,2.7989357,3.7950273,.28055802,2.7394464,,2.7989357,,3.7950273,,.28055802,,.13512273,
3866,79,3,1,147417,1.0925444,1.7831162,.85813791,.84575927,1.2614914,1.749787,.89272535,.96004492,.77395093,1.2208066,1.2850088,140882,1.7109139,2.0943229,1.5700223,1.9618698,1.7109139,,2.0943229,,1.5700223,,1.9618698,,1.2850088,
3867,79,3,2,573481,1.542269,1.4142933,1.2334644,.27659702,1.1778293,.88157654,.12160247,.76509118,1.4037217,.43117014,-.4905706,543586,1.5418359,2.0615427,1.1030504,1.1301751,,1.5418359,,2.0615427,,1.1030504,,1.1301751,,-.4905706
3868,79,3,1,402194,1.8176295,1.2217817,1.0431014,1.1849853,1.2206384,1.0882217,.85659301,1.9213289,.98477554,2.2408125,-.42724404,389331,2.5880072,2.5479043,1.9838225,1.2978643,2.5880072,,2.5479043,,1.9838225,,1.2978643,,-.42724404,
3869,79,3,1,584101,.49971232,.94846648,.76394284,.71862495,1.3129805,.79022419,1.0825727,.83824921,.9846406,1.5379566,-.6772182,532274,1.3145941,1.6258833,1.7967451,1.2696098,1.3145941,,1.6258833,,1.7967451,,1.2696098,,-.6772182,
3870,79,3,1,589334,.94126093,1.0505874,1.0801126,1.2905632,.86875296,.9144904,1.7376163,.31033,1.5948522,1.4213641,-.76013136,532274,1.9406898,1.3139398,2.6055465,1.2014534,1.9406898,,1.3139398,,2.6055465,,1.2014534,,-.76013136,
